campaign,campaign_slug,customer,creation_date
V For Volume - Plan de Fuga,v-for-volume-bogota-2024,eticket,1727183740
Andrés Carne de Res Jaloguin Rituales de Inframundo,andres-carne-de-res-jaloguin-2024,eticket,1727969559
Andrés Cepeda,andres-cepeda-bogota-2024,eticket,1710352373
Duplat,duplat-bogota-2024,eticket,1728312299
Vale Garzón,vale-garzon-bogota-2024,eticket,1727184144
Cultura Profética y Vicente García,cultura-profetica-vicente-garcia-bogota-2024,Tuboleta,1713995981
Kylie Minogue en Concierto,kylie-minogue-bogota-2025,Tuboleta,1730302494
MILO J,milo-j-bogota-2025,Tuboleta,1730825588
Aurora,aurora-bogota-2024,eticket,1716916225
Aventura,aventura-bogota-2024,eticket,1727274239
Blessd,blessd-bogota-2024-2,Tuboleta,1725630253
Kany García,kany-garcia-bogota-2024,Tuboleta,1718725604
Ryan Castro,ryan-castro-manizales-2024,Tuboleta,1718741877
Fonseca,fonseca-cali-2025,eticket,1730303837
Maca & Gero,maca-y-gero-bogota-2025,eticket,1729198585
Bunbury,bunbury-bogota-2025,Tuboleta,1729090162
Fonseca,fonseca-bogota-2025,,1730304184
Juliana,juliana-bogota-2025,Tuboleta,1730383210
APOLO 7 & FRIENDS,apolo-7-y-friends-bogota-2024,eticket,1729020430
Fonseca,fonseca-medellin-2025,eticket,1730303325
CORE,core-medellin-2025,,1730491659
Duki,duki-bogota-2025,Tuboleta,1731075959
The Offspring,the-offspring-bogota-2025,Tuboleta,1731170142
José Madero,jose-madero-bogota-2025,Tuboleta,1731684277
Bacilos,bacilos-medellin-2025,Tuboleta,1731706696
Solomun,solomun-cartagena-2025,eticket,1731880213
Drunk Comedy,drunk-comedy-14-bogota-2024,eticket,1731939683
Drunk Comedy,drunk-comedy-16-bogota-2024,eticket,1731940995
Drunk Comedy,drunk-comedy-18-bogota-2024,eticket,1731941559
Tiesto,tiesto-bogota-2025,Tuboleta,1732029921
